"Daily MID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/EUR","USD/GBP","USD/CAD","USD/JPY","USD/CHF"
"2015-09-30","0.8894","0.6594","1.3410","119.76","0.9723"
"2015-09-29","0.8931","0.6582","1.3345","120.17","0.9780"
"2015-09-28","0.8930","0.6588","1.3334","120.60","0.9793"
"2015-09-27","0.8930","0.6588","1.3334","120.60","0.9793"
"2015-09-26","0.8951","0.6576","1.3331","120.56","0.9788"
"2015-09-25","0.8918","0.6557","1.3336","119.90","0.9761"
"2015-09-24","0.8973","0.6534","1.3290","120.12","0.9765"
"2015-09-23","0.8955","0.6472","1.3254","120.19","0.9730"
"2015-09-22","0.8877","0.6442","1.3221","120.20","0.9691"
"2015-09-21","0.8849","0.6440","1.3226","119.99","0.9686"
"2015-09-20","0.8849","0.6440","1.3226","119.99","0.9686"
"2015-09-19","0.8774","0.6415","1.3137","119.74","0.9604"
"2015-09-18","0.8834","0.6442","1.3179","120.68","0.9688"
"2015-09-17","0.8869","0.6490","1.3219","120.43","0.9721"
"2015-09-16","0.8849","0.6493","1.3254","120.09","0.9704"
"2015-09-15","0.8827","0.6480","1.3249","120.30","0.9691"
"2015-09-14","0.8820","0.6482","1.3265","120.58","0.9693"
"2015-09-13","0.8820","0.6482","1.3265","120.58","0.9693"
"2015-09-12","0.8854","0.6479","1.3247","120.67","0.9738"
"2015-09-11","0.8909","0.6496","1.3242","120.65","0.9753"
"2015-09-10","0.8948","0.6503","1.3213","120.54","0.9779"
"2015-09-09","0.8945","0.6516","1.3259","119.65","0.9764"
"2015-09-08","0.8964","0.6565","1.3279","119.30","0.9736"
"2015-09-07","0.8969","0.6591","1.3280","119.02","0.9722"
"2015-09-06","0.8969","0.6591","1.3280","119.02","0.9722"
"2015-09-05","0.8983","0.6569","1.3224","119.35","0.9736"
"2015-09-04","0.8938","0.6546","1.3244","120.29","0.9714"
"2015-09-03","0.8878","0.6536","1.3253","120.04","0.9646"
"2015-09-02","0.8877","0.6514","1.3168","120.32","0.9624"
"2015-09-01","0.8914","0.6494","1.3234","121.23","0.9634"
"2015-08-31","0.8941","0.6497","1.3203","121.73","0.9626"
"2015-08-30","0.8941","0.6497","1.3203","121.73","0.9626"
"2015-08-29","0.8896","0.6493","1.3216","121.06","0.9630"
"2015-08-28","0.8854","0.6470","1.3251","120.39","0.9566"
"2015-08-27","0.8734","0.6403","1.3312","119.38","0.9446"
"2015-08-26","0.8685","0.6349","1.3264","119.49","0.9391"
"2015-08-25","0.8700","0.6365","1.3233","120.21","0.9401"
"2015-08-24","0.8782","0.6372","1.3186","122.03","0.9465"
"2015-08-23","0.8782","0.6372","1.3186","122.03","0.9465"
"2015-08-22","0.8858","0.6373","1.3110","122.79","0.9548"
"2015-08-21","0.8962","0.6381","1.3116","123.81","0.9640"
"2015-08-20","0.9046","0.6383","1.3077","124.24","0.9736"
"2015-08-19","0.9044","0.6398","1.3091","124.38","0.9777"
"2015-08-18","0.9016","0.6398","1.3108","124.40","0.9772"
"2015-08-17","0.9001","0.6393","1.3097","124.33","0.9761"
"2015-08-16","0.9001","0.6393","1.3097","124.33","0.9761"
"2015-08-15","0.8975","0.6401","1.3067","124.32","0.9759"
"2015-08-14","0.8981","0.6405","1.3015","124.41","0.9767"
"2015-08-13","0.8997","0.6414","1.3056","124.59","0.9799"
"2015-08-12","0.9073","0.6419","1.3071","124.84","0.9848"
"2015-08-11","0.9113","0.6446","1.3114","124.50","0.9839"
"2015-08-10","0.9119","0.6455","1.3134","124.22","0.9837"
"2015-08-09","0.9119","0.6455","1.3134","124.22","0.9837"
"2015-08-08","0.9149","0.6452","1.3120","124.61","0.9824"
"2015-08-07","0.9167","0.6422","1.3160","124.78","0.9806"
"2015-08-06","0.9194","0.6418","1.3186","124.51","0.9791"
"2015-08-05","0.9134","0.6413","1.3149","124.04","0.9708"
"2015-08-04","0.9117","0.6406","1.3133","124.03","0.9671"
"2015-08-03","0.9104","0.6402","1.3088","123.86","0.9661"
"2015-08-02","0.9104","0.6402","1.3088","123.86","0.9661"
"2015-08-01","0.9112","0.6408","1.3026","124.03","0.9650"
"2015-07-31","0.9130","0.6409","1.2980","124.20","0.9696"
"2015-07-30","0.9052","0.6402","1.2933","123.65","0.9629"
"2015-07-29","0.9039","0.6419","1.2999","123.52","0.9632"
"2015-07-28","0.9051","0.6437","1.3026","123.41","0.9598"
"2015-07-27","0.9106","0.6447","1.3045","123.80","0.9630"
"2015-07-26","0.9106","0.6447","1.3045","123.80","0.9630"
"2015-07-25","0.9117","0.6450","1.3046","123.89","0.9609"
"2015-07-24","0.9120","0.6417","1.3018","123.93","0.9580"
"2015-07-23","0.9154","0.6413","1.2986","123.85","0.9594"
"2015-07-22","0.9202","0.6426","1.2982","124.22","0.9615"
"2015-07-21","0.9227","0.6417","1.2987","124.21","0.9627"
"2015-07-20","0.9234","0.6408","1.2973","124.06","0.9618"
"2015-07-19","0.9234","0.6408","1.2973","124.06","0.9618"
"2015-07-18","0.9196","0.6402","1.2973","124.07","0.9584"
"2015-07-17","0.9166","0.6404","1.2935","123.95","0.9551"
"2015-07-16","0.9100","0.6397","1.2798","123.59","0.9481"
"2015-07-15","0.9083","0.6438","1.2756","123.40","0.9476"
"2015-07-14","0.9024","0.6445","1.2723","123.05","0.9447"
"2015-07-13","0.8964","0.6444","1.2659","122.80","0.9388"
"2015-07-12","0.8964","0.6444","1.2659","122.80","0.9388"
"2015-07-11","0.8991","0.6473","1.2704","122.22","0.9425"
"2015-07-10","0.9048","0.6503","1.2719","121.21","0.9473"
"2015-07-09","0.9068","0.6493","1.2731","121.59","0.9465"
"2015-07-08","0.9092","0.6445","1.2698","122.54","0.9460"
"2015-07-07","0.9056","0.6422","1.2618","122.53","0.9438"
"2015-07-06","0.8998","0.6423","1.2572","122.77","0.9404"
"2015-07-05","0.8998","0.6423","1.2572","122.77","0.9404"
