End Date,XAUUSD,XAUEUR,XAUGBP,XAUCAD,XAUCHF
5/1/15,1179.55,1050.98,772.198,1428.9,1099.9
5/2/15,1178.14,1051.75,777.694,1432.01,1098.17
5/3/15,1178.14,1051.75,777.694,1432.01,1098.17
5/4/15,1184.44,1060.47,782.462,1437.69,1106.61
5/5/15,1190.61,1068.02,786.231,1438.8,1109.89
5/6/15,1192.98,1059.7,784.18,1435.9,1099.94
5/7/15,1185.96,1047.65,778.614,1432.72,1086.71
5/8/15,1185.89,1056.28,767.972,1435.09,1096.61
5/9/15,1188.05,1059.88,768.835,1434.23,1104.36
5/10/15,1188.05,1059.88,768.835,1434.23,1104.36
5/11/15,1186.92,1063.24,766.512,1436.85,1107.2
5/12/15,1188.06,1060.3,760.224,1432.19,1104.21
5/13/15,1200.65,1065.03,764.951,1439.03,1109.71
5/14/15,1217.63,1069.58,772.428,1455.86,1113.03
5/15/15,1220.23,1070.21,774.343,1465.21,1117.53
5/16/15,1223.74,1068.56,777.986,1469.86,1120.09
5/17/15,1223.74,1068.56,777.986,1469.86,1120.09
5/18/15,1225.95,1076.04,781.131,1479.97,1127.49
5/19/15,1217.63,1084.72,781.709,1483.33,1133.71
5/20/15,1208.84,1087.16,778.663,1477.33,1133.01
5/21/15,1208.52,1086.41,774.077,1474.41,1129.66
5/22/15,1207.49,1087.53,773.811,1476.29,1132.02
5/23/15,1205.69,1094.31,777.9,1479.97,1134.69
5/24/15,1205.69,1094.31,777.9,1479.97,1134.69
5/25/15,1205.08,1097.14,778.582,1481.68,1136.86
5/26/15,1196.77,1096.06,776.034,1479.48,1135.02
5/27/15,1187.52,1090.74,772.334,1477.63,1129.12
5/28/15,1188,1088.11,775.044,1480.8,1125.24
5/29/15,1189.38,1084.29,777.341,1479.8,1120.14
5/30/15,1190.13,1082.52,777.683,1481.43,1118.43
5/31/15,1190.13,1082.52,777.683,1481.43,1118.43
6/1/15,1190.51,1088.37,780.801,1486.69,1123.8
6/2/15,1190.04,1079.9,780.049,1485.52,1118.81
6/3/15,1190.26,1064.41,776.491,1479.17,1112
6/4/15,1181.19,1047.3,769.106,1472.4,1102.38
6/5/15,1173.98,1049.46,766.556,1466.58,1099.78
6/6/15,1171.51,1053.69,766.986,1456.09,1099.78
6/7/15,1171.51,1053.69,766.986,1456.09,1099.78
6/8/15,1173.09,1050.93,767.756,1459.13,1099.59
6/9/15,1177.15,1043.3,767.394,1456.75,1092.94
6/10/15,1183.06,1046.63,765.532,1453.63,1099.71
6/11/15,1183.12,1049.36,763.714,1454.05,1105.01
6/12/15,1181.35,1050.98,760.996,1453.32,1100.67
