Results,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close
Average,  1.273,104.771,  0.930,  1.588,  1.108
Minimum,   1.048,  78.000,   0.859,   1.464,   0.977
Maximum,   1.393, 125.637,   1.020,   1.716,   1.343
Std,   0.098,  12.127,   0.030,   0.060,   0.098
# In Calc, 782, 782, 782, 782, 782

Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close
2012-10-01,1.288,78,0.9385,1.6126,0.9828
2012-10-02,1.2919,78.1,0.936,1.6142,0.9835
2012-10-03,1.29,78.512,0.9388,1.6073,0.9879
2012-10-04,1.3014,78.47,0.9304,1.6182,0.9806
2012-10-05,1.3017,78.668,0.9304,1.6126,0.9799
2012-10-08,1.2972,78.33,0.9326,1.6036,0.9766
2012-10-09,1.2873,78.223,0.941,1.5989,0.9783
2012-10-10,1.2894,78.15,0.9384,1.6009,0.981
2012-10-11,1.293,78.29,0.9345,1.6047,0.9787
2012-10-12,1.2956,78.366,0.9332,1.6076,0.9793
2012-10-15,1.2951,78.67,0.9331,1.6071,0.9791
2012-10-16,1.3045,78.87,0.9263,1.6111,0.987
2012-10-17,1.3123,79.024,0.9221,1.6149,0.9773
2012-10-18,1.3068,79.264,0.9247,1.6055,0.9854
2012-10-19,1.3021,79.33,0.9285,1.6007,0.9928
2012-10-22,1.3049,79.89,0.9272,1.6006,0.9931
2012-10-23,1.2977,79.86,0.9329,1.5946,0.9926
2012-10-24,1.2964,79.786,0.933,1.6029,0.9947
2012-10-25,1.2945,80.294,0.9342,1.6125,0.9941
2012-10-26,1.2934,79.6,0.9351,1.609,0.9979
2012-10-29,1.2898,79.799,0.9364,1.6029,0.9999
2012-10-30,1.2962,79.62,0.9322,1.6071,0.9999
2012-10-31,1.292,79.8,0.9316,1.6029,1.0001
2012-11-01,1.2936,80.19,0.9322,1.6122,0.9963
2012-11-02,1.2832,80.417,0.9406,1.6018,0.9953
2012-11-05,1.2794,80.28,0.9435,1.5978,0.9962
2012-11-06,1.281,80.4,0.9431,1.5994,0.992
